id,name__sh,name__en,name__sr_el,name__sr_ec,name__hr,name__es,name__sr,name__pl,name__fr,name__de,name__nl,name__hu,name__ja,name,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__hr,wikipedia__pl,wikipedia__sh,wikipedia__sr,image,gender,occupation,identifier__VIAF,birth_date,identifier__freebase,given_name,original_wikiname,name__sv,wikipedia__sv,identifier__EuroparlMEP,name__ru,name__uk,name__cs,name__et,wikipedia__cs,wikipedia__et,wikipedia__ru,wikipedia__uk,name__fi,name__zh,wikipedia__fi,identifier__PACE,name__it,name__nb,name__da,name__nn,wikipedia__hrwikiquote,wikipedia__it,name__sl,name__ie,name__tw,wikipedia__commons,wikipedia__ie,wikipedia__sl,wikipedia__tw,wikipedia__zh,identifier__GND,website,identifier__LCAuth,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cy,name__eo,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__is,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sq,name__tr,name__vec,name__vls,name__wa,identifier__SUDOC,identifier__FAST,name__zh_hans,name__fa,name__bm,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__frc,name__frp,name__ia,name__id,name__io,name__jam,name__kab,name__kg,name__lv,name__mg,name__min,name__ms,name__nrm,name__oc,name__pap,name__prg,name__pt_br,name__rgn,name__sw,name__vi,name__vmf,name__vo,name__wo,name__zu,wikipedia__fa,family_name,name__be,wikipedia__be,name__ar,name__el,name__he,name__la,name__hy,wikipedia__ar,wikipedia__cswikiquote,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__no,wikipedia__pt,wikipedia__simple,wikipedia__tr,wikipedia__vi,identifier__Munzinger,death_date,name__mk,wikipedia__bg,identifier__ISNI,name__bg,wikipedia__nl,identifier__parlement,name__ku,wikipedia__ku,wikipedia__bswikiquote,wikipedia__ca,wikipedia__hrwikisource,wikipedia__bs,wikipedia__ja,wikipedia__enwikiquote,name__nan,name__ko,name__yo,name__mn,name__be_tarask,name__ka,wikipedia__be_x_old,wikipedia__da,wikipedia__eu,wikipedia__gl,wikipedia__io,wikipedia__ka,wikipedia__ko,wikipedia__mn,wikipedia__oc,wikipedia__sk,wikipedia__sq,wikipedia__yo,wikipedia__zh_min_nan,identifier__Britannica,name__zh_hant,name__zh_cn,wikipedia__srwikiquote,identifier__IMDB,identifier__NUKAT,facebook,name__bn,wikipedia__bn,wikipedia__lt,wikipedia__lv,wikipedia__mk,wikipedia__nn,identifier__IIAF,twitter,name__uz,identifier__BNF,identifier__NKC,identifier__NLP
Q12628147,Boris Miletić,Boris Miletić,,,Boris Miletić,Boris Miletić,,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,,Boris Miletić,,Boris Miletić,,Boris Miletić,Boris Miletić,Boris Miletić,,https://upload.wikimedia.org/wikipedia/commons/9/99/Boris_Miletić.JPG,male,politician,,1975-09-02,,Boris,Boris Miletić,Boris Miletić,Boris Miletić,,,Борис Мілетич,Boris Miletić,Boris Miletić,,,,Борис Мілетич,Boris Miletić,博里斯·米萊蒂奇,,,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,,,Boris Miletić,,,,,,,博里斯·米萊蒂奇,,,,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,Boris Miletić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12629972,,Domagoj Ivan Milošević,,,Domagoj Ivan Milošević,,Домагој Иван Милошевић,Domagoj Ivan Milošević,,,,,,Domagoj Ivan Milošević,,,,Domagoj Ivan Milošević,Domagoj Ivan Milošević,,Домагој Иван Милошевић,,male,economist,,1970-01-05,,,Домагој Иван Милошевић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milošević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12631651,,Gordan Maras,,,Gordan Maras,,Гордан Марас,Gordan Maras,Gordan Maras,Gordan Maras,Gordan Maras,,,Gordan Maras,,Gordan Maras,Gordan Maras,Gordan Maras,Gordan Maras,,Гордан Марас,https://upload.wikimedia.org/wikipedia/commons/9/93/G_maras.jpg,male,politician,,1974-06-13,,Gordan,Gordan Maras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12645873,Zvonimir Mršić,Zvonimir Mršić,,,Zvonimir Mršić,,,,,,,,,Zvonimir Mršić,,Zvonimir Mršić,,Zvonimir Mršić,,Zvonimir Mršić,,,male,,,,,,Zvonimir Mršić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1271876,Ivan Grubišić,Ivan Grubišić,Ivan Grubišić,Иван Грубишић,Ivan Grubišić,,Иван Грубишић,Ivan Grubišić,Ivan Grubišić,Ivan Grubišić,Ivan Grubišić,,,Ivan Grubišić,,Ivan Grubišić,Ivan Grubišić,Ivan Grubišić,Ivan Grubišić,Ivan Grubišić,Иван Грубишић,https://upload.wikimedia.org/wikipedia/commons/5/5c/Grubisic_ivan.jpg,male,politician,21422280,1936-06-20,/m/0hn8mcx,Ivan,Иван Грубишић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1274378,Josip Leko,Josip Leko,Josip Leko,Јосип Леко,Josip Leko,Josip Leko,Јосип Леко,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,,Josip Leko,,Josip Leko,,Josip Leko,Josip Leko,Josip Leko,Јосип Леко,https://upload.wikimedia.org/wikipedia/commons/e/e9/Josip_Leko_par_Claude_Truong-Ngoc_juillet_2013.jpg,male,politician,,1948-09-19,/m/0n5wbcz,Josip,Јосип Леко,Josip Leko,,,,Йосип Леко,Josip Leko,Josip Leko,,,,Йосип Леко,Josip Leko,,,,Josip Leko,Josip Leko,Josip Leko,Josip Leko,,,,Josip Leko,,,,,,,,,,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,,Josip Leko,Josip Leko,Josip Leko,,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,,Josip Leko,Josip Leko,Josip Leko,Josip Leko,,,,جوزپ لکو,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,Josip Leko,جوزپ لکو,Leko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1274758,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Владимир Шекс,Vladimir Šeks,Vladimir Šeks,Владимир Шекс,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,,Vladimir Šeks,,Vladimir Šeks,,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Владимир Шекс,https://upload.wikimedia.org/wikipedia/commons/6/69/Vladimir_Šeks_2009.JPG,male,politician,33111292,1943-01-01,/m/0h7yy_,Vladimir,Владимир Шекс,Vladimir Šeks,,,"Шекс, Владимир",Владимир Шекс,Vladimir Šeks,Vladimir Šeks,,,"Шекс, Владимир",Владимир Шекс,Vladimir Šeks,,,,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,,,Vladimir Šeks,,,,,,,,,,,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,Vladimir Šeks,110019792,270725,,ولادیمیر شکس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ولادیمیر شکس,,,,,,,,,,,,,Vladimir Šeks,,,,,,,,,,,,,,,,,0000 0000 5526 4485,,,,,,Vladimir Šeks,Vladimir Šeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12752142,Ivan Pernar,Ivan Pernar,,,,,Иван Пернар,,,,,,,Ivan Pernar,,Ivan Pernar (Croatian politician),,,,Ivan Pernar (hrvatski političar),Иван Пернар (р. 1985),,male,politician,,1985-10-14,,,Ivan Pernar (Croatian politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1279604,Jasen Mesić,Jasen Mesić,,,Jasen Mesić,Jasen Mesić,,Jasen Mesić,Jasen Mesić,Jasen Mesić,Jasen Mesić,Jasen Mesić,,Jasen Mesić,Jasen Mesić,Jasen Mesić,Jasen Mesić,Jasen Mesić,Jasen Mesić,Jasen Mesić,,,male,politician,310508744,1972-06-11,/m/05syt1f,,Jasen Mesić,Jasen Mesić,,,,,,,,,,,,,,,Jasen Mesić,Jasen Mesić,Jasen Mesić,Jasen Mesić,,Jasen Mesić,,,,,,,,,105494573X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1279988,Vesna Škare-Ožbolt,Vesna Škare-Ožbolt,,,Vesna Škare-Ožbolt,,,Vesna Škare-Ožbolt,Vesna Škare-Ožbolt,,Vesna Škare-Ožbolt,,ヴェスナ・シュカレ＝オジュボルト,Vesna Škare-Ožbolt,,Vesna Škare-Ožbolt,,Vesna Škare-Ožbolt,Vesna Škare-Ožbolt,Vesna Škare-Ožbolt,,https://upload.wikimedia.org/wikipedia/commons/d/da/Vesna_Škare-Ožbolt.jpg,female,politician,,1961-06-20,/m/04m_tf1,Vesna,Vesna Škare-Ožbolt,,,,,,,,,,,,,,,,,,,,,,Vesna Škare-Ožbolt,,,,,Vesna Škare-Ožbolt,,,,,,,,,,,Vesna Škare-Ožbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vesna Škare-Ožbolt,,,,ヴェスナ・シュカレ＝オジュボルト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1285099,Radimir Čačić,Radimir Čačić,,,Radimir Čačić,Radimir Čačić,,Radimir Čačić,Radimir Čačić,Radimir Čačić,Radimir Čačić,Radimir Čačić,,Radimir Čačić,Radimir Čačić,Radimir Čačić,Radimir Čačić,Radimir Čačić,Radimir Čačić,Radimir Čačić,,https://upload.wikimedia.org/wikipedia/commons/4/41/R_cacic.jpg,male,politician,305564397,1949-05-11,/m/068zlv,,Radimir Čačić,Radimir Čačić,Radimir Čačić,,"Чачич, Радимир",Радимир Чачич,,,,,"Чачич, Радимир",Радимир Чачич,,,,,Radimir Čačić,Radimir Čačić,Radimir Čačić,Radimir Čačić,Radimir Čačić,Radimir Čačić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12956737,Davor Ivo Stier,Davor Ivo Stier,,,Davor Stier,,,Davor Stier,Davor Ivo Stier,Davor Stier,Davor Ivo Stier,,,Davor Stier,Davor Stier,Davor Ivo Stier,Davor Ivo Stier,Davor Ivo Stier,Davor Ivo Stier,Davor Ivo Stier,,https://upload.wikimedia.org/wikipedia/commons/6/63/Davor_Stier.JPG,male,politician,,1972-01-06,,Davor,Davor Ivo Stier,Davor Ivo Stier,Davor Ivo Stier,119435,,,,,,,,,,,,,,,,,Davor Ivo Stier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davor Ivo Stier,,,,,,,,,,,Davor Ivo Stier,,,,,,,,,,,,,,,,,,,,,,,Davor Ivo Stier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12958427,Mihael Zmajlović,Mihael Zmajlović,,,,,Михаел Змајловић,Mihael Zmajlović,Mihael Zmajlović,,Mihael Zmajlović,,,Mihael Zmajlović,,Mihael Zmajlović,Mihael Zmajlović,,Mihael Zmajlović,Mihael Zmajlović,Михаел Змајловић,https://upload.wikimedia.org/wikipedia/commons/3/37/Zmajlovic.jpg,male,politician,,1978-01-19,,Mihael,Михаел Змајловић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
