id,name__en,name__fr,name__zh,name,wikipedia__en,wikipedia__zh,gender,birth_date,given_name,website,facebook,original_wikiname,name__es,name__nl,name__de,name__ru,name__hu,identifier__freebase,family_name,twitter,name__nb,name__da,name__nn,name__sv,name__it,wikipedia__de,image,identifier__VIAF,identifier__FAST,wikipedia__it,name__zh_hant,name__zh_cn,name__ja,wikipedia__fr,death_date,name__en_gb,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__NLA,identifier__NLAtrove,name__pl,wikipedia__pl,name__pt,name__wuu,name__yue,name__tl,wikipedia__no,wikipedia__pt,wikipedia__tl,wikipedia__wuu,wikipedia__zh_yue,identifier__Britannica,name__id,name__uk,name__si,name__vi,name__fa,name__he,name__bn,name__ar,name__la,name__ca,wikipedia__ar,wikipedia__bn,wikipedia__ca,wikipedia__commons,wikipedia__es,wikipedia__fa,wikipedia__he,wikipedia__id,wikipedia__la,wikipedia__ru,wikipedia__simple,wikipedia__si,wikipedia__uk,wikipedia__vi,identifier__NNDB,name__en_ca,name__nds,identifier__BNF,identifier__SUDOC,identifier__CANTIC,name__zh_hans,name__zh_hk,wikipedia__sv,name__sq,wikipedia__sq,name__ro,name__cy,name__zh_sg,name__zh_tw,name__ko,wikipedia__enwikiquote,wikipedia__ja,wikipedia__ko,name__eo,wikipedia__enwikinews,wikipedia__eo,name__af,name__an,name__br,name__bs,name__ceb,name__cs,name__et,name__eu,name__fi,name__ga,name__gl,name__hr,name__is,name__lb,name__lmo,name__lt,name__nds_nl,name__pms,name__sk,name__sl,name__tr,name__vec,name__wa,name__gsw,name__mg,wikipedia__mg,identifier__NDL,identifier__NTA,identifier__NUKAT,wikipedia__fi,wikipedia__nl,identifier__IMDB,identifier__Munzinger,identifier__CSPAN,name__sr,name__sh,wikipedia__sh,wikipedia__sr,name__mr,name__de_ch,name__el,name__pt_br,name__ta,name__ms,name__be_tarask,name__fo,name__kl,name__sco,name__ne,name__be,name__ur,name__min,name__mn,name__hi,name__bg,name__io,name__th,name__hy,name__mk,name__lv,name__yi,name__ka,name__ckb,name__hif,wikipedia__af,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ckb,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__hif,wikipedia__hi,wikipedia__hiwikiquote,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__io,wikipedia__itwikiquote,wikipedia__ka,wikipedia__lt,wikipedia__lv,wikipedia__min,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__plwikiquote,wikipedia__ro,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sco,wikipedia__ta,wikipedia__th,wikipedia__thwikiquote,wikipedia__tr,wikipedia__ur,wikipedia__yi,honorific_prefix,identifier__OLID,identifier__wikitree,identifier__GTAA,identifier__AuDB,name__qu,name__uz,name__vo,name__oc,name__bi,name__hak,name__rm,name__nan,name__arz,name__ug,name__yo,name__ml,name__ht,name__ku,name__war,name__tpi,name__kn,wikipedia__arz,wikipedia__bi,wikipedia__br,wikipedia__ceb,wikipedia__cswikiquote,wikipedia__cy,wikipedia__enwikisource,wikipedia__eu,wikipedia__ga,wikipedia__hak,wikipedia__ht,wikipedia__kn,wikipedia__ku,wikipedia__ml,wikipedia__oc,wikipedia__qu,wikipedia__rm,wikipedia__sk,wikipedia__tpi,wikipedia__ug,wikipedia__uz,wikipedia__vo,wikipedia__war,wikipedia__yo,wikipedia__zh_min_nan,identifier__TED,name__gv,wikipedia__gv,wikipedia__gl,name__jv,wikipedia__dewikiquote,wikipedia__is,wikipedia__jv,wikipedia__lb,wikipedia__nowikiquote,wikipedia__svwikinews,wikipedia__ukwikiquote,name__ast,wikipedia__ast,identifier__MusicBrainz,identifier__discogs,instagram,linkedin,identifier__google_plus,name__bar,name__co,name__fur,name__gd,name__li,name__lij,name__nap,name__pcd,name__sc,name__scn,name__vls,identifier__ULAN,name__de_at,name__frp,name__ia,name__ie,name__kg,name__nrm,name__sr_el,name__sw,name__wo,name__zu,name__sm,wikipedia__ie,wikipedia__mk,wikipedia__sm,name__szl,name__bcl,name__my,name__az,name__vep,name__ksh,name__nah,name__mwl,wikipedia__az,wikipedia__bcl,wikipedia__gd,wikipedia__ksh,wikipedia__mwl,wikipedia__my,wikipedia__nah,wikipedia__nds,wikipedia__nn,wikipedia__sw,wikipedia__szl,wikipedia__trwikiquote,wikipedia__vep,identifier__ATP,identifier__ITF,identifier__NLI
Q25352543,Ben Morton,,,Ben Morton,Ben Morton (politician),,male,,,,,Ben Morton (politician),,Ben Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25352606,Ross Hart,,,Ross Hart,Ross Hart (politician),,male,,,,,Ross Hart (politician),,Ross Hart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2546246,Peter Costello,Peter Costello,彼得·科斯特洛,Peter Costello,Peter Costello,彼得·科斯特洛,male,1957-08-14,Peter,,,Peter Costello,Peter Costello,Peter Costello,Peter Costello,,Peter Costello,/m/022h7g,,,Peter Costello,Peter Costello,Peter Costello,Peter Costello,Peter Costello,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Costello1.jpg,53492587,458419,Peter Costello,彼得·霍華德·科斯特洛,,,Peter Costello,,,0000 0000 7883 1200,138008965,n2001027373,,,Peter Costello,Peter Costello,,,,,,,,,,,,,,,,,,,Petrus Costello,,,,,,,,,,Petrus Costello,,,,,,,,,,,,彼得·霍华德·科斯特洛,彼得·霍華德·科斯特洛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OL6512160A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25752522,Matt Keogh,,,Matt Keogh,Matt Keogh,,male,,,,,Matt Keogh,,Matt Keogh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25753048,Julia Banks,,,Julia Banks,Julia Banks,,female,,Julia,,,Julia Banks,,Julia Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25753138,Emma Husar,,,Emma Husar,Emma Husar,,male,,,,,Emma Husar,,Emma Husar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25753357,Mike Freelander,,,Mike Freelander,Mike Freelander,,male,,,,,Mike Freelander,,Mike Freelander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25753992,Susan Templeman,,,Susan Templeman,Susan Templeman,,male,,Susan,,,Susan Templeman,,Susan Templeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25756083,Nicolle Flint,,,Nicolle Flint,Nicolle Flint,,female,,,,,Nicolle Flint,,Nicolle Flint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25756137,Madeleine King,,,Madeleine King,Madeleine King,,male,,,,,Madeleine King,,Madeleine King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25756186,Chris Crewther,,,Chris Crewther,Chris Crewther,,male,1983-08-06,Chris,,,Chris Crewther,,Chris Crewther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25756187,Peter Khalil,,,Peter Khalil,Peter Khalil,,male,,Peter,,,Peter Khalil,,Peter Khalil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25756194,Andrew Wallace,,,Andrew Wallace,Andrew Wallace,,male,,Andrew,,,Andrew Wallace,,Andrew Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25756209,David Littleproud,,,David Littleproud,David Littleproud,,male,,David,,,David Littleproud,,David Littleproud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25756234,Llew O'Brien,,,Llew O'Brien,Llew O'Brien,,male,,,,,Llew O'Brien,,Llew O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25768264,Anne Stanley,,,Anne Stanley,Anne Stanley (politician),,female,,Anne,,,Anne Stanley (politician),,Anne Stanley,,,,,Stanley,AnneWerriwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25844494,Emma McBride,,,Emma McBride,Emma McBride,,female,,Emma,,,Emma McBride,,Emma McBride,,,,,McBride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25856253,Tim Hammond,,,Tim Hammond,Tim Hammond (politician),,male,,Tim,,,Tim Hammond (politician),,Tim Hammond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2646347,David Hawker,David Hawker,,David Hawker,David Hawker,,male,1949-05-01,David,,,David Hawker,David Hawker,David Hawker,David Hawker,,David Hawker,,,,David Hawker,David Hawker,David Hawker,David Hawker,,,,,,,,,,,,,,,,,,David Hawker,David Hawker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26695681,Brian Mitchell,,,Brian Mitchell,Brian Mitchell (politician),,male,,Brian,,,Brian Mitchell (politician),,Brian Mitchell,,,,,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26703057,Cathy O'Toole,,,Cathy O'Toole,Cathy O'Toole,,female,,,,,Cathy O'Toole,,Cathy O'Toole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q269372,Bob Hawke,Bob Hawke,鮑勃·霍克,Bob Hawke,Bob Hawke,鮑勃·霍克,male,1929-12-09,Bob,,,Bob Hawke,Bob Hawke,Bob Hawke,Bob Hawke,"Хоук, Роберт",Bob Hawke,/m/019yt,,,Bob Hawke,Bob Hawke,,Bob Hawke,Bob Hawke,Bob Hawke,https://upload.wikimedia.org/wikipedia/commons/6/67/BobHawke(cropped).jpg,110790256,1717390,Bob Hawke,,,ボブ・ホーク,Bob Hawke,,Bob Hawke,0000 0001 1480 0365,101479384X,n81019695,35995459,595990,Bob Hawke,Bob Hawke,,,,,Bob Hawke,,,,,,,Роберт Гоук,,Bob Hawke,باب هاوک,בוב הוק,,,Robertus Iacobus Lee Hawke,Bob Hawke,,,Bob Hawke,Category:Bob Hawke,Bob Hawke,باب هاوک,בוב הוק,,Robertus Iacobus Lee Hawke,"Хоук, Роберт",Bob Hawke,,Роберт Гоук,Bob Hawke,,,,12308871m,031970281,,,,Bob Hawke,,,,,,,밥 호크,,ボブ・ホーク,밥 호크,Bob Hawke,,Bob Hawke,,,,,,Bob Hawke,,Bob Hawke,Bob Hawke,,,,,,,Robert Hawke,,,Bob Hawke,,,,,,Bob Hawke,Bob Hawke,00620801,147891809,,Bob Hawke,Bob Hawke,,,,,,,,बॉब हॉक,,,,,,,,,,बब हक,Роберт Хоўк,,,,बाब हाक,,Bob Hawke,,,,,,,,,,,Роберт Хоўк,,,Bob Hawke,Bob Hawke,,,,बाब हाक,,,Bob Hawke,,Bob Hawke,,,Robert Hawke,,,,बॉब हॉक,,बब हक,,,,,,,,,,,,,OL6267413A,Hawke-468,107878,,,,,,,,,,,,Bob Hawke,,,,,,,,,,,,,,Bob Hawke,,,,,,,,,,Bob Hawke,,,,,,Bob Hawke,,,,,,,,,,,,,,Bob Hawke,Bob Hawke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q304561,Kim Beazley,Kim Beazley,金·比兹利,Kim Beazley,Kim Beazley,金·比兹利,male,1948-12-14,Kim,,,Kim Beazley,Kim Beazley,Kim Christian Beazley,Kim Beazley,,Kim Beazley,/m/01vpvp,,,Kim Beazley,Kim Beazley,Kim Beazley,Kim Beazley,,Kim Beazley,https://upload.wikimedia.org/wikipedia/commons/7/7e/Ac.kimbeazleynew.jpg,40897683,,,,,キム・ビーズリー,Kim Beazley,,,,,n87823340,,,,,Kim Beazley,,,,Kim Beazley,Kim Beazley,,,,,,,,,,,,,,,,,,Kim Beazley,Kim Beazley,,,,,,,,,,,,,,167895516,,,,,,,,,,,,,キム・ビーズリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Christian Beazley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3108047,John Brumby,John Brumby,,John Brumby,John Brumby,,male,1953-04-21,John,,,John Brumby,John Brumby,John Brumby,John Brumby,,John Brumby,/m/06dn4l,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/13/JohnBrumby2007crop.jpg,92422679,,,,,,John Brumby,,,,,,,,John Brumby,John Brumby,,,,,,,,,,,,,,,,,,,,John Brumby,,,John Brumby,,,,,,,,John Brumby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3180236,Joel Fitzgibbon,Joel Fitzgibbon,喬爾·費吉賓,Joel Fitzgibbon,Joel Fitzgibbon,喬爾·費吉賓,male,1962-01-16,Joel,,,Joel Fitzgibbon,Joel Fitzgibbon,Joel Fitzgibbon,Joel Fitzgibbon,,Joel Fitzgibbon,/m/02qn62,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/JoelFitz.JPG,,,,,,,Joel Fitzgibbon,,,,,,,,Joel Fitzgibbon,Joel Fitzgibbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3180912,John Anderson,John Anderson,約翰·安德森,John Anderson,John Anderson (Australian politician),,male,1956-11-14,John,,,John Anderson (Australian politician),John Anderson,John Anderson,John Anderson,,John Anderson,,,,,,,,,,,,,,,,,"John Anderson (homme politique, 1956)",,,,,,,,,,,,,,,,,,,,,,,,جان اندرسون,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Anderson (Australian politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3195101,Ken Wyatt,Ken Wyatt,,Ken Wyatt,Ken Wyatt,,male,1952-08-04,Ken,http://www.kenwyatt.com.au/,,Ken Wyatt,,Ken Wyatt,Ken Wyatt,,,/m/0crj7k4,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a3/Ken_Wyatt_cropped.jpg,,,,,,,Ken Wyatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenneth George Wyatt,,,Kenneth George Wyatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
